Subject,DSP_Trial,Top,Target,AbsoluError,Order
605,dsp1_08,telescope,wheelbarrow,130.1,pre
605,dsp1_05,mailbox,bookshelf,109.9,pre
605,new_7,trashcan,stove,37.5,pre
605,dsp1_07,telescope,trashcan,131.4,pre
605,new_3,bookshelf,piano,93.7,pre
605,dsp1_19,bookshelf,plant,61.7,pre
605,dsp1_04,chair,trashcan,122.8,pre
605,new_1,well,telescope,14.7,pre
605,new_2,stove,wheelbarrow,0.7,pre
605,dsp1_21,wheelbarrow,stove,17.3,pre
605,dsp1_24,harp,telescope,149.0,pre
605,dsp1_09,plant,well,136.4,pre
605,dsp1_03,chair,piano,4.6,pre
605,dsp1_16,piano,harp,14.1,pre
605,dsp1_23,harp,plant,126.0,pre
605,dsp1_02,well,picnic table,77.0,pre
605,dsp1_17,trashcan,picnic table,73.6,pre
605,dsp1_13,stove,chair,20.1,pre
605,dsp1_11,picnic table,wheelbarrow,22.9,pre
605,dsp1_10,plant,piano,167.0,pre
605,dsp1_22,wheelbarrow,mailbox,160.0,pre
605,new_4,picnic table,chair,143.9,pre
605,dsp1_06,mailbox,harp,164.1,pre
605,new_6,piano,trashcan,78.7,pre
605,new_5,harp,mailbox,159.9,pre
605,dsp1_18,trashcan,well,8.6,pre
605,dsp1_14,stove,bookshelf,15.4,pre
606,dsp1_11,picnic table,wheelbarrow,116.1,pre
606,dsp1_21,wheelbarrow,stove,150.7,pre
606,dsp1_02,well,picnic table,173.0,pre
606,dsp1_07,telescope,trashcan,67.6,pre
606,dsp1_16,piano,harp,90.1,pre
606,dsp1_09,plant,well,25.4,pre
606,dsp1_06,mailbox,harp,150.9,pre
606,dsp1_08,telescope,wheelbarrow,44.1,pre
606,dsp1_14,stove,bookshelf,24.4,pre
606,dsp1_24,harp,telescope,62.0,pre
606,dsp1_18,trashcan,well,47.6,pre
606,new_4,picnic table,chair,17.1,pre
606,dsp1_04,chair,trashcan,5.2,pre
606,new_7,trashcan,stove,10.5,pre
606,new_6,piano,trashcan,57.7,pre
606,new_1,well,telescope,16.3,pre
606,dsp1_22,wheelbarrow,mailbox,110.0,pre
606,dsp1_13,stove,chair,14.1,pre
606,dsp1_05,mailbox,bookshelf,19.9,pre
606,new_3,bookshelf,piano,2.7,pre
606,dsp1_23,harp,plant,138.0,pre
606,new_2,stove,wheelbarrow,9.7,pre
606,dsp1_10,plant,piano,141.0,pre
606,dsp1_17,trashcan,picnic table,23.6,pre
606,dsp1_19,bookshelf,plant,2.7,pre
606,dsp1_03,chair,piano,84.6,pre
606,new_5,harp,mailbox,30.1,pre
607,dsp1_18,trashcan,well,145.4,pre
607,dsp1_02,well,picnic table,173.0,pre
607,dsp1_16,piano,harp,135.1,pre
607,dsp1_14,stove,bookshelf,67.4,pre
607,dsp1_04,chair,trashcan,70.8,pre
607,dsp1_03,chair,piano,38.6,pre
607,new_6,piano,trashcan,6.3,pre
607,new_7,trashcan,stove,141.5,pre
607,dsp1_17,trashcan,picnic table,150.6,pre
607,dsp1_24,harp,telescope,131.0,pre
607,dsp1_06,mailbox,harp,107.1,pre
607,dsp1_09,plant,well,82.4,pre
607,new_5,harp,mailbox,176.9,pre
607,new_2,stove,wheelbarrow,122.3,pre
607,dsp1_22,wheelbarrow,mailbox,100.0,pre
607,dsp1_19,bookshelf,plant,121.7,pre
607,dsp1_10,plant,piano,11.0,pre
607,new_4,picnic table,chair,36.9,pre
607,dsp1_13,stove,chair,51.9,pre
607,dsp1_07,telescope,trashcan,25.4,pre
607,new_3,bookshelf,piano,37.7,pre
607,dsp1_08,telescope,wheelbarrow,104.1,pre
607,new_1,well,telescope,110.3,pre
607,dsp1_23,harp,plant,130.0,pre
607,dsp1_11,picnic table,wheelbarrow,101.1,pre
607,dsp1_05,mailbox,bookshelf,97.1,pre
607,dsp1_21,wheelbarrow,stove,118.3,pre
608,dsp1_11,picnic table,wheelbarrow,157.1,pre
608,dsp1_10,plant,piano,109.0,pre
608,dsp1_02,well,picnic table,107.0,pre
608,new_5,harp,mailbox,77.1,pre
608,dsp1_06,mailbox,harp,143.9,pre
608,dsp1_24,harp,telescope,110.0,pre
608,dsp1_14,stove,bookshelf,90.4,pre
608,new_6,piano,trashcan,136.3,pre
608,dsp1_17,trashcan,picnic table,164.4,pre
608,dsp1_04,chair,trashcan,176.2,pre
608,dsp1_05,mailbox,bookshelf,85.9,pre
608,dsp1_08,telescope,wheelbarrow,99.9,pre
608,dsp1_22,wheelbarrow,mailbox,69.0,pre
608,dsp1_16,piano,harp,163.1,pre
608,dsp1_21,wheelbarrow,stove,15.7,pre
608,new_1,well,telescope,56.7,pre
608,new_3,bookshelf,piano,23.7,pre
608,dsp1_03,chair,piano,26.4,pre
608,dsp1_07,telescope,trashcan,38.6,pre
608,dsp1_09,plant,well,78.4,pre
608,dsp1_13,stove,chair,162.9,pre
608,new_2,stove,wheelbarrow,28.3,pre
608,dsp1_18,trashcan,well,97.6,pre
608,dsp1_23,harp,plant,164.0,pre
608,new_4,picnic table,chair,97.1,pre
608,new_7,trashcan,stove,160.5,pre
608,dsp1_19,bookshelf,plant,71.3,pre
609,dsp1_23,harp,plant,13.0,pre
609,dsp1_24,harp,telescope,60.0,pre
609,dsp1_08,telescope,wheelbarrow,18.9,pre
609,dsp1_22,wheelbarrow,mailbox,43.0,pre
609,dsp1_14,stove,bookshelf,20.4,pre
609,dsp1_19,bookshelf,plant,3.3,pre
609,dsp1_16,piano,harp,8.1,pre
609,dsp1_11,picnic table,wheelbarrow,27.9,pre
609,new_3,bookshelf,piano,0.7,pre
609,new_7,trashcan,stove,11.5,pre
609,dsp1_21,wheelbarrow,stove,4.7,pre
609,new_2,stove,wheelbarrow,11.3,pre
609,new_6,piano,trashcan,2.7,pre
609,dsp1_07,telescope,trashcan,67.6,pre
609,dsp1_17,trashcan,picnic table,1.6,pre
609,new_5,harp,mailbox,55.1,pre
609,dsp1_09,plant,well,93.4,pre
609,new_4,picnic table,chair,41.1,pre
609,dsp1_18,trashcan,well,10.6,pre
609,dsp1_02,well,picnic table,3.0,pre
609,dsp1_13,stove,chair,38.1,pre
609,dsp1_10,plant,piano,124.0,pre
609,dsp1_04,chair,trashcan,4.8,pre
609,new_1,well,telescope,30.7,pre
609,dsp1_06,mailbox,harp,56.1,pre
609,dsp1_03,chair,piano,38.4,pre
609,dsp1_05,mailbox,bookshelf,14.1,pre
610,dsp1_13,stove,chair,21.1,pre
610,dsp1_04,chair,trashcan,32.2,pre
610,dsp1_03,chair,piano,8.6,pre
610,new_7,trashcan,stove,32.5,pre
610,dsp1_08,telescope,wheelbarrow,32.9,pre
610,dsp1_18,trashcan,well,15.4,pre
610,dsp1_09,plant,well,23.4,pre
610,dsp1_06,mailbox,harp,170.9,pre
610,new_2,stove,wheelbarrow,103.3,pre
610,new_5,harp,mailbox,11.9,pre
610,dsp1_02,well,picnic table,58.0,pre
610,dsp1_11,picnic table,wheelbarrow,112.9,pre
610,new_4,picnic table,chair,108.1,pre
610,dsp1_16,piano,harp,11.1,pre
610,new_1,well,telescope,14.7,pre
610,dsp1_10,plant,piano,52.0,pre
610,dsp1_14,stove,bookshelf,2.4,pre
610,dsp1_21,wheelbarrow,stove,97.7,pre
610,dsp1_05,mailbox,bookshelf,29.9,pre
610,dsp1_07,telescope,trashcan,52.4,pre
610,dsp1_17,trashcan,picnic table,15.6,pre
610,dsp1_24,harp,telescope,156.0,pre
610,new_6,piano,trashcan,21.3,pre
610,dsp1_19,bookshelf,plant,40.7,pre
610,dsp1_22,wheelbarrow,mailbox,66.0,pre
610,new_3,bookshelf,piano,26.7,pre
610,dsp1_23,harp,plant,147.0,pre
611,new_6,piano,trashcan,7.7,pre
611,dsp1_06,mailbox,harp,8.1,pre
611,dsp1_22,wheelbarrow,mailbox,76.0,pre
611,new_4,picnic table,chair,159.9,pre
611,dsp1_17,trashcan,picnic table,10.4,pre
611,new_3,bookshelf,piano,0.7,pre
611,new_1,well,telescope,107.3,pre
611,dsp1_13,stove,chair,60.9,pre
611,dsp1_24,harp,telescope,64.0,pre
611,dsp1_05,mailbox,bookshelf,93.1,pre
611,dsp1_08,telescope,wheelbarrow,59.9,pre
611,dsp1_11,picnic table,wheelbarrow,170.9,pre
611,dsp1_23,harp,plant,91.0,pre
611,dsp1_16,piano,harp,24.1,pre
611,new_2,stove,wheelbarrow,97.3,pre
611,dsp1_14,stove,bookshelf,136.6,pre
611,dsp1_04,chair,trashcan,157.2,pre
611,new_5,harp,mailbox,82.9,pre
611,dsp1_03,chair,piano,29.4,pre
611,dsp1_10,plant,piano,4.0,pre
611,dsp1_09,plant,well,87.4,pre
611,dsp1_02,well,picnic table,149.0,pre
611,dsp1_18,trashcan,well,106.4,pre
611,dsp1_21,wheelbarrow,stove,72.3,pre
611,dsp1_07,telescope,trashcan,47.6,pre
611,new_7,trashcan,stove,47.5,pre
611,dsp1_19,bookshelf,plant,14.3,pre
612,dsp1_11,picnic table,wheelbarrow,41.1,pre
612,dsp1_16,piano,harp,40.9,pre
612,dsp1_23,harp,plant,120.0,pre
612,dsp1_10,plant,piano,174.0,pre
612,dsp1_22,wheelbarrow,mailbox,54.0,pre
612,new_4,picnic table,chair,100.1,pre
612,dsp1_05,mailbox,bookshelf,9.9,pre
612,dsp1_17,trashcan,picnic table,68.4,pre
612,dsp1_24,harp,telescope,42.0,pre
612,dsp1_02,well,picnic table,22.0,pre
612,dsp1_13,stove,chair,15.1,pre
612,new_5,harp,mailbox,85.1,pre
612,dsp1_09,plant,well,93.4,pre
612,new_2,stove,wheelbarrow,17.7,pre
612,dsp1_08,telescope,wheelbarrow,77.9,pre
612,dsp1_19,bookshelf,plant,50.7,pre
612,dsp1_18,trashcan,well,79.4,pre
