Participant No,Gender,TrialNo,TrialID,AngluarArror
 605,0,1,dsp1_04,16.65981217
 605,0,2,dsp1_24,36.2472296
 605,0,3,dsp1_11,2.453146946
 605,0,4,dsp1_06,3.375158383
 605,0,5,dsp1_13,8.121458496
 605,0,6,dsp1_18,11.74526212
 605,0,7,dsp1_23,12.16763749
 605,0,8,dsp1_17,23.44530212
 605,0,9,dsp1_07,56.52278151
 605,0,10,dsp1_14,15.96978881
 605,0,11,dsp1_21,102.4206034
 605,0,12,dsp1_09,59.18102421
 605,0,13,dsp1_22,93.84795688
 605,0,14,dsp1_05,11.61144315
 605,0,15,dsp1_03,5.416045012
 605,0,16,dsp1_10,79.865791
 605,0,17,dsp1_02,7.1
 605,0,18,dsp1_16,4.20193481
 605,0,19,dsp1_19,21.20395961
 605,0,20,dsp1_08,33.59393067
 606,0,1,dsp1_23,43.96763749
 606,0,2,dsp1_14,11.86978881
 606,0,3,dsp1_06,1.275158383
 606,0,4,dsp1_03,38.91594501
 606,0,5,dsp1_04,31.14008783
 606,0,6,dsp1_05,0.388556845
 606,0,7,dsp1_13,17.2213585
 606,0,8,dsp1_11,110.3531369
 606,0,9,dsp1_24,88.0471296
 606,0,10,dsp1_19,5.203919608
 606,0,11,dsp1_18,63.75469788
 606,0,12,dsp1_07,46.02282151
 606,0,13,dsp1_09,18.78102421
 606,0,14,dsp1_22,27.74805688
 606,0,15,dsp1_08,0.59382067
 606,0,16,dsp1_17,3.445402119
 606,0,17,dsp1_21,118.2206034
 606,0,18,dsp1_02,18.2
 606,0,19,dsp1_10,8.765790997
 606,0,20,dsp1_16,27.10190481
 607,1,1,dsp1_09,3.981024207
 607,1,2,dsp1_13,5.078641504
 607,1,3,dsp1_02,106.4
 607,1,4,dsp1_21,121.9206034
 607,1,5,dsp1_18,8.854697881
 607,1,6,dsp1_05,69.28855685
 607,1,7,dsp1_19,9.603939608
 607,1,8,dsp1_16,63.79802519
 607,1,9,dsp1_11,81.95323695
 607,1,10,dsp1_17,54.65459788
 607,1,11,dsp1_14,17.03021119
 607,1,12,dsp1_04,23.85981217
 607,1,13,dsp1_24,161.6527704
 607,1,14,dsp1_22,66.05194312
 607,1,15,dsp1_08,79.49396067
 607,1,16,dsp1_06,30.52484162
 607,1,17,dsp1_10,68.465891
 607,1,18,dsp1_03,46.68395499
 607,1,19,dsp1_23,55.36763749
 607,1,20,dsp1_07,11.67722849
 608,0,1,dsp1_10,27.165891
 608,0,2,dsp1_03,37.11604501
 608,0,3,dsp1_09,52.38112421
 608,0,4,dsp1_21,80.37939662
 608,0,5,dsp1_08,21.39391067
 608,0,6,dsp1_05,15.31144315
 608,0,7,dsp1_04,0.85981217
 608,0,8,dsp1_17,37.94530212
 608,0,9,dsp1_23,60.36763749
 608,0,10,dsp1_11,86.94686305
 608,0,11,dsp1_06,0.275158383
 608,0,12,dsp1_22,163.2520431
 608,0,13,dsp1_13,58.0214585
 608,0,14,dsp1_07,12.62277151
 608,0,15,dsp1_14,8.930211191
 608,0,16,dsp1_02,4.3
 608,0,17,dsp1_19,86.29605039
 608,0,18,dsp1_18,43.95469788
 608,0,19,dsp1_24,77.3472296
 608,0,20,dsp1_16,53.70198481
 609,0,1,dsp1_14,2.769788809
 609,0,2,dsp1_05,2.611543155
 609,0,3,dsp1_10,71.965691
 609,0,4,dsp1_16,8.30194481
 609,0,5,dsp1_06,3.375158383
 609,0,6,dsp1_19,15.50394961
 609,0,7,dsp1_18,22.04532212
 609,0,8,dsp1_22,97.04795688
 609,0,9,dsp1_07,1.722771507
 609,0,10,dsp1_03,6.116145012
 609,0,11,dsp1_09,13.38102421
 609,0,12,dsp1_17,6.654697881
 609,0,13,dsp1_21,100.2206034
 609,0,14,dsp1_24,25.4472296
 609,0,15,dsp1_08,7.80607933
 609,0,16,dsp1_02,12
 609,0,17,dsp1_23,16.36763749
 609,0,18,dsp1_11,18.44682305
 609,0,19,dsp1_13,14.1214585
 609,0,20,dsp1_04,12.75981217
 610,0,1,dsp1_04,50.54008783
 610,0,2,dsp1_16,26.00197481
 610,0,3,dsp1_19,29.89605039
 610,0,4,dsp1_23,73.66763749
 610,0,5,dsp1_05,4.288656845
 610,0,6,dsp1_22,76.84795688
 610,0,7,dsp1_14,4.630111191
 610,0,9,dsp1_24,1.047229603
 610,0,10,dsp1_10,42.334209
 610,0,11,dsp1_06,37.27525838
 610,0,12,dsp1_07,36.47722849
 610,0,13,dsp1_09,62.51897579
 610,0,14,dsp1_08,19.49395267
 610,0,15,dsp1_11,69.74676305
 610,0,16,dsp1_13,21.3214585
 610,0,17,dsp1_18,3.154697881
 610,0,18,dsp1_02,2.5
 610,0,19,dsp1_03,18.28395499
 610,0,20,dsp1_17,1.245302119
 611,0,1,dsp1_19,44.50391961
 611,0,2,dsp1_17,60.55469788
 611,0,3,dsp1_03,36.61594501
 611,0,4,dsp1_24,20.4472296
 611,0,5,dsp1_21,124.3207034
 611,0,6,dsp1_13,24.3214585
 611,0,7,dsp1_18,7.254697881
 611,0,8,dsp1_05,7.988556845
 611,0,9,dsp1_11,69.55323695
 611,0,10,dsp1_02,24.8
 611,0,11,dsp1_14,36.33021119
 611,0,12,dsp1_09,64.08102421
 611,0,13,dsp1_08,43.99392067
 611,0,14,dsp1_10,50.265791
 611,0,15,dsp1_23,47.56763749
 611,0,16,dsp1_04,19.75981217
 611,0,17,dsp1_07,69.52278151
 611,0,18,dsp1_06,3.575158383
 611,0,19,dsp1_22,6.752043123
 611,0,20,dsp1_16,15.70197481
 612,0,1,dsp1_03,33.31604501
 612,0,2,dsp1_13,46.2214585
 612,0,3,dsp1_07,70.82278151
 612,0,4,dsp1_22,70.64795688
 612,0,5,dsp1_19,26.10393961
 612,0,6,dsp1_02,47.1
 612,0,7,dsp1_04,46.14018783
 612,0,8,dsp1_08,14.89390767
 612,0,9,dsp1_23,43.96753749
 612,0,10,dsp1_18,16.85469788
 612,0,11,dsp1_09,59.98102421
 612,0,12,dsp1_10,119.565791
 612,0,13,dsp1_06,27.27515838
 612,0,14,dsp1_21,33.12070338
 612,0,15,dsp1_17,92.75474788
 612,0,16,dsp1_11,48.64686605
 612,0,17,dsp1_05,10.91144315
 612,0,18,dsp1_16,20.79802519
 612,0,19,dsp1_24,44.1471296
 612,0,20,dsp1_14,2.669788809
 613,0,1,dsp1_24,26.5527704
 613,0,2,dsp1_23,18.16763749
 613,0,3,dsp1_09,5.181124207
 613,0,4,dsp1_04,12.85981217
 613,0,5,dsp1_22,23.94795688
 613,0,6,dsp1_06,4.775158383
 613,0,7,dsp1_08,43.29393067
 613,0,8,dsp1_16,25.40197481
 613,0,9,dsp1_07,30.82276351
 613,0,10,dsp1_14,2.069788809
 613,0,11,dsp1_13,12.9214585
 613,0,12,dsp1_21,70.02060338
 613,0,13,dsp1_05,1.911443155
 613,0,14,dsp1_18,87.15469788
 613,0,15,dsp1_10,96.665791
 613,0,16,dsp1_11,121.5531369
 613,0,17,dsp1_02,5.2
 613,0,18,dsp1_17,19.45469788
 613,0,19,dsp1_19,22.50395961
 613,0,20,dsp1_03,40.11604501
 614,0,1,dsp1_19,53.19605039
 614,0,2,dsp1_09,14.98102421
 614,0,3,dsp1_14,22.16978881
